"Provider.ID","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","lon","lat","geoAddress"
30071,"FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ",86504,"APACHE",9287298000,"Acute Care Hospitals","Government - Federal","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PO BOX 649
FORT DEFIANCE, AZ
",-109.0764828,35.7444602,"fort defiance, az 86504, usa"
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ",86045,"COCONINO",9282832501,"Acute Care Hospitals","Voluntary non-profit - Other","false","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PO BOX 600
TUBA CITY, AZ
",-111.2398625,36.1349928,"tuba city, az 86045, usa"
30074,"SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD","SELLS","AZ",85634,"PIMA",5203627003,"Acute Care Hospitals","Tribal","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
",-111.8792638,31.9183525,"az-86, arizona, usa"
30077,"SAN CARLOS APACHE HEALTHCARE","103 MEDICINE WAY ROAD","PERIDOT","AZ",85542,"GILA",9284751200,"Acute Care Hospitals","Government - Federal","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","103 MEDICINE WAY ROAD
PERIDOT, AZ
",-110.4178698,33.2953875,"103 medicine way rd., peridot, az 85542, united states"
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD","CHINLE","AZ",86503,"APACHE",9286747001,"Acute Care Hospitals","Government - Federal","true","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","US HWY 191, HOSPITAL ROAD
CHINLE, AZ
",-109.6076963,36.1575812,"u.s. 191, chinle, az 86503, usa"
31305,"HOPI HEALTH CARE CENTER","HIGHWAY 264, MILEPOST 388","POLACCA","AZ",86042,"NAVAJO",9287376000,"Critical Access Hospitals","Tribal","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","HIGHWAY 264, MILEPOST 388
POLACCA, AZ
",-110.4265076,35.8021258,"highway 264 mile post 388, polacca, az 86042, usa"
31308,"HUHU KAM MEMORIAL HOSPITAL","483 WEST SEED FARM ROAD","SACATON","AZ",85147,"PINAL",5205623321,"Critical Access Hospitals","Government - Hospital District or Authority","true","true","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","483 WEST SEED FARM ROAD
SACATON, AZ
",-111.7590533,33.072934,"483 w seed farm rd, sacaton, az 85147, usa"
31309,"SAGE MEMORIAL HOSPITAL","STATE ROUTE 264 SOUTH 191","GANADO","AZ",86505,"APACHE",9287554541,"Critical Access Hospitals","Voluntary non-profit - Private","false","","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","STATE ROUTE 264 SOUTH 191
GANADO, AZ
",-109.5417324,35.7089648,"az-264, arizona, usa"
40007,"CHI-ST VINCENT INFIRMARY","TWO ST VINCENT CIRCLE","LITTLE ROCK","AR",72205,"PULASKI",5015523000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","2","","Below the national average","","Below the national average","","Below the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",-92.3393722,34.7504671,"2 st vincent cir, little rock, ar 72205, usa"
40018,"SPARKS MEDICAL CENTER - VAN BUREN","EAST MAIN AND SOUTH 20TH STREET","VAN BUREN","AR",72956,"CRAWFORD",4794743401,"Acute Care Hospitals","Proprietary","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",-94.3381171,35.4365325,"n 20th st & main st, van buren, ar 72956, usa"
40050,"OUACHITA COUNTY MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR",71701,"OUACHITA",8708361000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","4","","Same as the national average","","Same as the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","638 CALIFORNIA AVENUE
CAMDEN, AR
",-92.8362602,33.5758644,"638 california ave sw, camden, ar 71701, usa"
40154,"BAPTIST HEALTH MEDICAL CENTER-CONWAY","1555 EXCHANGE AVENUE","CONWAY","AR",72032,"FAULKNER",5015852000,"Acute Care Hospitals","Voluntary non-profit - Private","true","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1555 EXCHANGE AVENUE
CONWAY, AR
",-92.4196613,35.0634045,"1555 exchange ave, conway, ar 72032, usa"
41324,"CHI ST VINCENT MORRILTON","#4 HOSPITAL DRIVE","MORRILTON","AR",72110,"CONWAY",5019772300,"Critical Access Hospitals","Voluntary non-profit - Church","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","#4 HOSPITAL DRIVE
MORRILTON, AR
",-92.719814,35.1685309,"4 hospital dr, morrilton, ar 72110, usa"
41328,"CHICOT MEMORIAL MEDICAL CENTER","2729 SOUTH HIGHWAY 65 & 82","LAKE VILLAGE","AR",71653,"CHICOT",8702655351,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
",-91.289507,33.305808,"2729 hwy 65 & 82 south, lake village, ar 71653, united states"
50054,"SAN GORGONIO MEMORIAL HOSPITAL","600 NORTH HIGHLAND SPRINGS AVENUE","BANNING","CA",92220,"RIVERSIDE",9518451121,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","2","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
",-116.9459031,33.9317494,"600 n highland springs ave, banning, ca 92220, usa"
50103,"WHITE MEMORIAL MEDICAL CENTER","1720 E CESAR AVENUE","LOS ANGELES","CA",90033,"LOS ANGELES",3232685000,"Acute Care Hospitals","Voluntary non-profit - Church","true","true","3","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","1720 E CESAR AVENUE
LOS ANGELES, CA
",-118.2172453,34.0492579,"1720 east cesar e chavez avenue, los angeles, ca 90033, usa"
50138,"KAISER FOUNDATION HOSPITAL - LOS ANGELES","4867 SUNSET BLVD","LOS ANGELES","CA",90027,"LOS ANGELES",3237834011,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","This hospitals star rating only includes data reported on inpatient services","Not Available","Results are not available for this reporting period","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","4867 SUNSET BLVD
LOS ANGELES, CA
",-118.2945908,34.0983411,"4867 sunset blvd, los angeles, ca 90027, usa"
50145,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R HOLMAN HIGHWAY","MONTEREY","CA",93940,"MONTEREY",8316245311,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","5","","Same as the national average","","Same as the national average","","Above the national average","","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","23625 W R HOLMAN HIGHWAY
MONTEREY, CA
",-121.9132381,36.5790057,"23625 holman hwy, monterey, ca 93940, usa"
50224,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","ONE HOAG DRIVE","NEWPORT BEACH","CA",92663,"ORANGE",9497644624,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","4","","Above the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","ONE HOAG DRIVE
NEWPORT BEACH, CA
",-117.9300468,33.6247428,"1 hoag dr, newport beach, ca 92663, usa"
50309,"SUTTER ROSEVILLE MEDICAL CENTER","ONE MEDICAL PLAZA","ROSEVILLE","CA",95661,"PLACER",9167811000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","4","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Above the national average","","ONE MEDICAL PLAZA
ROSEVILLE, CA
",-121.2489287,38.7664738,"1 medical plaza dr, roseville, ca 95661, usa"
50393,"PIH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE","DOWNEY","CA",90241,"LOS ANGELES",5269045000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","11500 BROOKSHIRE AVENUE
DOWNEY, CA
",-118.1309877,33.9343061,"11500 brookshire ave, downey, ca 90241, usa"
50488,"EDEN MEDICAL CENTER","20103 LAKE CHABOT ROAD","CASTRO VALLEY","CA",94546,"ALAMEDA",5105371234,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
",-122.0896915,37.6983405,"20103 lake chabot rd, castro valley, ca 94546, usa"
50547,"SONOMA DEVELOPMENTAL CENTER","15000 ARNOLD DRIVE   /  P O BOX 1493","ELDRIDGE","CA",95431,"SONOMA",7079386000,"Acute Care Hospitals","Government - Federal","false","","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","15000 ARNOLD DRIVE / P O BOX 1493
ELDRIDGE, CA
",-122.5176091,38.3485829,"15000 arnold dr, eldridge, ca 95431, usa"
50567,"MISSION HOSPITAL REGIONAL MED CENTER","27700 MEDICAL CENTER RD","MISSION VIEJO","CA",92691,"ORANGE",9493641400,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Below the national average","","Above the national average","","Below the national average","","Same as the national average","","Below the national average","","Below the national average","","27700 MEDICAL CENTER RD
MISSION VIEJO, CA
",-117.6654655,33.5610516,"27700 medical center rd, mission viejo, ca 92691, usa"
50684,"MENIFEE VALLEY MEDICAL CENTER","28400 MCCALL B0ULEVARD","SUN CITY","CA",92585,"RIVERSIDE",9516798888,"Acute Care Hospitals","Physician","false","true","2","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","28400 MCCALL B0ULEVARD
SUN CITY, CA
",-117.1681518,33.7189772,"28400 mccall blvd, sun city, ca 92585, usa"
50717,"LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","7601 EAST IMPERIAL HIGHWAY","DOWNEY","CA",90242,"LOS ANGELES",5624017022,"Acute Care Hospitals","Government - Local","false","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA
",-118.158594,33.9293319,"7601 imperial hwy, downey, ca 90242, usa"
51317,"ST HELENA HOSPITAL-CLEARLAKE","15630 18TH AVE - HWY 53","CLEARLAKE","CA",95422,"LAKE",7079946486,"Critical Access Hospitals","Voluntary non-profit - Church","true","true","2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","15630 18TH AVE - HWY 53
CLEARLAKE, CA
",-122.6200816,38.9353458,"15630 18th ave, clearlake, ca 95422, usa"
53302,"CHILDREN'S HOSP OF LOS ANGELES","4650 SUNSET BLVD","LOS ANGELES","CA",90027,"LOS ANGELES",3236692164,"Childrens","Voluntary non-profit - Private","true","true","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","4650 SUNSET BLVD
LOS ANGELES, CA
",-118.2911004,34.0975772,"4650 sunset blvd, los angeles, ca 90027, usa"
53306,"CHILDREN'S HOSPITAL AT MISSION","27700 MEDICAL CENTER RD, 5TH FLOOR","MISSION VIEJO","CA",92691,"ORANGE",9493652408,"Childrens","Voluntary non-profit - Private","true","true","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA
",-117.6654655,33.5610516,"27700 medical center rd, mission viejo, ca 92691, usa"
61325,"PIONEERS MEDICAL CENTER","100 PIONEERS MEDICAL CENTER DRIVE","MEEKER","CO",81641,"RIO BLANCO",9708785047,"Critical Access Hospitals","Government - Hospital District or Authority","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO
",-107.8811052,40.0462851,"100 pioneers medical center drive, meeker, co 81641, usa"
61326,"PIKES PEAK REGIONAL HOSPITAL","16420 HIGHWAY 24","WOODLAND PARK","CO",80863,"TELLER",7196879999,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Above the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","16420 HIGHWAY 24
WOODLAND PARK, CO
",-105.07449,38.9746042,"16420 us-24, woodland park, co 80863, usa"
70006,"STAMFORD HOSPITAL","ONE HOSPITAL PLAZA","STAMFORD","CT",6904,"FAIRFIELD",2032761000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Above the national average","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","ONE HOSPITAL PLAZA
STAMFORD, CT
",-73.5538648,41.0558536,"1 hospital plaza, stamford, ct 06902, usa"
70016,"SAINT MARY'S HOSPITAL","56 FRANKLIN STEET","WATERBURY","CT",6706,"NEW HAVEN",2035746000,"Acute Care Hospitals","Voluntary non-profit - Other","true","true","3","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Above the national average","","56 FRANKLIN STEET
WATERBURY, CT
",-73.0368663,41.5529483,"56 franklin st, waterbury, ct 06706, usa"
70029,"BRISTOL HOSPITAL","BREWSTER RD","BRISTOL","CT",6010,"HARTFORD",8605853000,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","3","","Same as the national average","","Above the national average","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","BREWSTER RD
BRISTOL, CT
",-72.9314067,41.6758208,"brewster rd, bristol, ct 06010, usa"
80003,"ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","WILMINGTON","DE",19805,"NEW CASTLE",3024214100,"Acute Care Hospitals","Voluntary non-profit - Private","true","true","4","","Same as the national average","","Above the national average","","Same as the national average","","Below the national average","","Same as the national average","","Below the national average","","Same as the national average","","7TH AND CLAYTON STS
WILMINGTON, DE
",-75.5666186,39.7495353,"n clayton st & w 7th st, wilmington, de 19805, usa"
100054,"TWIN CITIES HOSPITAL","2190 HWY 85 N","NICEVILLE","FL",32578,"OKALOOSA",8506784131,"Acute Care Hospitals","Proprietary","true","true","4","","Same as the national average","","Above the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Below the national average","","2190 HWY 85 N
NICEVILLE, FL
",-86.4955846,30.5335439,"2190 fl-85, niceville, fl 32578, usa"
